date,open,high,low,close,adj close,volume
2017-01-10,40.272179,41.205860,40.262650,41.148697,33.238857,53724867
2017-01-11,41.472626,42.963657,41.410698,42.706421,34.497147,119983314
2017-01-12,42.777874,42.982712,42.230049,42.639729,34.443268,56274460
2017-01-13,42.873150,42.911259,42.034740,42.525398,34.350918,44420995
2017-01-16,42.325325,43.778248,42.230049,43.678211,35.282127,70071305
2017-01-17,43.735374,43.787777,42.958897,43.278061,34.958897,35085425
2017-01-18,43.325699,44.778622,43.278061,44.621422,36.044029,95692047
2017-01-19,44.654766,44.664291,44.049778,44.507092,35.951683,36159719
2017-01-20,44.397526,44.569019,43.120861,43.301880,34.978138,51717555
2017-01-23,42.958897,44.206982,42.930313,43.997379,35.539951,45657685
2017-01-24,44.016434,44.445164,43.687737,44.230797,35.728493,39169155
2017-01-25,44.492802,45.421719,44.407055,44.730984,36.132530,66204769
2017-01-27,44.764332,45.140663,44.145054,44.711929,36.117138,52243335
2017-01-30,44.635712,44.635712,43.840176,44.021194,35.559185,34875839
2017-01-31,43.844940,44.912006,43.835411,44.116470,35.636143,47691783
2017-02-01,44.211742,45.340736,43.554356,45.216881,36.525024,58490623
2017-02-02,45.112080,45.817104,44.421345,45.440773,36.705883,62851755
2017-02-03,45.436008,45.731358,44.602364,45.045387,36.386501,55469232
2017-02-06,45.197826,45.502701,44.697639,45.102551,36.432678,50453281
2017-02-07,45.264519,45.712303,44.783386,45.045387,36.386501,50765665
2017-02-08,46.207726,46.245834,44.535675,44.840549,36.221039,118473925
2017-02-09,44.745277,45.102551,43.492428,43.811592,35.389870,68075108
2017-02-10,44.492802,44.950115,43.878284,44.607128,36.032490,83045940
2017-02-13,45.078735,45.445538,44.788151,45.026333,36.371109,51417986
2017-02-14,45.150188,45.240700,44.407055,45.007278,36.355717,34130103
2017-02-15,45.035862,45.231171,43.563881,43.835411,35.409111,44384867
2017-02-16,44.273670,44.921532,43.411446,44.773857,36.167160,50594978
2017-02-17,44.997749,45.240700,44.459454,44.607128,36.032490,41166906
2017-02-20,44.588074,46.588821,44.278435,46.403038,37.483177,88599048
2017-02-21,46.584057,47.246208,46.207726,46.774605,37.783321,84637408
2017-02-22,46.726967,46.822243,45.788521,46.117218,37.252296,52590986
2017-02-23,46.217255,46.484020,45.555103,46.279182,37.383129,50491014
2017-02-27,46.226780,46.507839,45.683720,45.788521,36.986786,28663608
2017-02-28,45.874268,46.279182,45.774231,45.988598,37.148396,35716963
2017-03-01,46.207726,47.875015,46.055290,47.670177,38.506733,80993746
2017-03-02,47.827377,48.170364,46.898460,47.127117,38.068066,60064342
2017-03-03,47.117592,47.422466,46.641220,47.169991,38.102703,35244808
2017-03-06,47.169991,47.732105,46.707912,46.941334,37.917999,43594723
2017-03-07,47.017551,47.065189,45.793285,45.921906,37.094532,53773443
2017-03-08,46.198200,46.341110,44.788151,45.012043,36.359566,62297509
2017-03-09,44.959641,45.288338,44.559490,44.726219,36.128681,47188140
2017-03-10,44.635712,45.197826,44.035488,44.564255,35.997856,47480193
2017-03-14,45.636086,45.636086,44.821495,45.021568,36.367260,58416709
2017-03-15,45.154953,45.731358,44.816730,45.640846,36.867493,58377790
2017-03-16,46.193436,47.732105,45.917141,47.603485,38.452866,109072712
2017-03-17,48.003635,48.470474,47.455811,47.846436,38.649117,71376618
